geolocation_city,product_category_name,total_orders
* cidade,esporte_lazer,1
...arraial do cabo,cama_mesa_banho,10
abadia dos dourados,cool_stuff,21
abadiania,eletroportateis,16
abadiânia,eletroportateis,7
abaete,relogios_presentes,276
abaetetuba,informatica_acessorios,625
abaeté,relogios_presentes,51
abaiara,automotivo,4
abaira,relogios_presentes,7
abare,automotivo,17
abaré,automotivo,4
abatia,casa_conforto,21
abatiá,casa_conforto,1
abaíra,relogios_presentes,4
abdon batista,cama_mesa_banho,20
abelardo luz,utilidades_domesticas,94
abrantes,instrumentos_musicais,54
abre campo,cool_stuff,32
abreu e lima,ferramentas_jardim,93
acaiaca,esporte_lazer,15
acailandia,moveis_decoracao,172
acajutiba,telefonia,18
acarau,beleza_saude,108
acaraú,beleza_saude,9
acari,beleza_saude,15
acegua,ferramentas_jardim,7
aceguá,ferramentas_jardim,3
acopiara,bebidas,88
acreuna,eletroportateis,111
acreúna,eletroportateis,15
acu,ferramentas_jardim,138
acucena,utilidades_domesticas,8
adamantina,cama_mesa_banho,1586
adhemar de barros,automotivo,5
adolfo,papelaria,46
adrianopolis,fashion_bolsas_e_acessorios,7
adrianópolis,fashion_bolsas_e_acessorios,3
adustina,cama_mesa_banho,15
afogados da ingazeira,beleza_saude,114
afonso claudio,cool_stuff,138
afonso cláudio,cool_stuff,24
afranio,beleza_saude,7
afrânio,beleza_saude,3
agisse,utilidades_domesticas,4
agrolandia,ferramentas_jardim,29
agrolândia,ferramentas_jardim,6
agronomica,cama_mesa_banho,7
agronômica,cama_mesa_banho,5
agua boa,automotivo,282
agua branca,industria_comercio_e_negocios,18
agua clara,artes,27
agua comprida,informatica_acessorios,4
agua doce,construcao_ferramentas_construcao,44
agua doce do norte,beleza_saude,38
agua fria de goias,fashion_underwear_e_moda_praia,7
agua limpa,bebes,4
agua nova,alimentos,5
agua preta,esporte_lazer,10
agua santa,automotivo,6
aguai,informatica_acessorios,735
aguas belas,moveis_decoracao,72
aguas claras,utilidades_domesticas,5
aguas da prata,moveis_decoracao,168
aguas de lindoia,cama_mesa_banho,700
aguas de santa barbara,automotivo,50
aguas de sao pedro,esporte_lazer,15
aguas formosas,casa_conforto,150
aguas frias,esporte_lazer,5
aguas lindas de goias,cama_mesa_banho,38
aguas mornas,informatica_acessorios,5
aguas vermelhas,cama_mesa_banho,126
aguaí,informatica_acessorios,160
agudo,telefonia,16
agudos,telefonia,552
aguia branca,beleza_saude,19
aimores,cool_stuff,186
aimorés,cool_stuff,38
aiuaba,esporte_lazer,6
aiuruoca,esporte_lazer,18
ajuricaba,pet_shop,33
alagoa,cama_mesa_banho,11
alagoa grande,cool_stuff,16
alagoa nova,relogios_presentes,8
alagoinha,cama_mesa_banho,6
alagoinhas,telefonia,151
alambari,beleza_saude,10
alcantara,telefonia,18
alcinopolis,informatica_acessorios,38
alcinópolis,informatica_acessorios,10
alcobaca,informatica_acessorios,21
alcobaça,informatica_acessorios,3
alcântara,telefonia,12
alegre,cama_mesa_banho,545
alegrete,cama_mesa_banho,913
alegrete do piaui,informatica_acessorios,4
alegrete do piauí,informatica_acessorios,2
alegria,bebes,8
alem paraiba,cama_mesa_banho,936
alexandra,beleza_saude,2
alexandria,fashion_bolsas_e_acessorios,16
alexandrita,fashion_roupa_masculina,16
alexania,perfumaria,42
alexânia,perfumaria,26
alfenas,moveis_decoracao,1336
alfredo chaves,cama_mesa_banho,84
alfredo marcondes,informatica_acessorios,16
alfredo vasconcelos,beleza_saude,26
alfredo wagner,brinquedos,27
alhandra,automotivo,12
alianca,beleza_saude,21
